playerID,wager_value,realAmount,result_value,Game_Name,channelUID,transaction_hour,transactionDateTime,profit,Profit Category,Most Frequent Time,Most Played Game,Most Used Device,Deposit Category,Betting Category,Betting Volume Category,Pending Withdrawal Status,Cash In Hand Category,deposit_amount,withdrawal_amount,pending_withdrawal_amount,cancelled_withdrawal_amount,amount_euro,account_balance,Withdrawal Status
116004723,2362.0,6228.0,3866.0,MARLEEN,DESKTOP,2017-03-20 17:00:00,"42814,713134468",-1504.0,Unprofitable,Afternoon,JESSENIA,DESKTOP,0-25,0-25,Very High,0,Low,35.0,0.0,0.0,0.0,35.0,1539.0,Deposited More
116008056,14.3748018179896,172.0,3.8050945988796,BILLYE,IPAD,2017-03-20 02:00:00,"42814,101246944",10.569707219109999,Profitable,Early Morning,BILLYE,IPAD,0-25,0-25,Low,0,Low,10.56970721911,0.0,0.0,0.0,10.56970721911,1.3322676295501878e-15,Deposited More
116010104,130.00739879505298,4016.0,294.4720431244046,DONNIE,DESKTOP,2017-03-20 10:00:00,"42814,426976285",-164.46464432935161,Unprofitable,Afternoon,DONNIE,DESKTOP,0-25,0-25,Very High,0,Medium,63.41824331466,0.0,0.0,0.0,63.41824331466,227.88288764401162,Deposited More
116015483,69.5486735017438,1714.0,111.6161082338016,MARGARETTA,IPHONE,2017-03-20 06:00:00,"42814,268643785",-42.06743473205779,Unprofitable,Morning,ENOLA,IPHONE,0-25,0-25,Very High,0,Medium,63.41824331466,0.0,0.0,0.0,63.41824331466,105.4856780467178,Deposited More
116018788,393.2988056230831,22128.0,1945.5660078215778,VANESA,,2017-03-20 06:00:00,"42814,250562789",-1552.2672021984947,Unprofitable,Morning,VANESA,Unknown,0-25,0-25,Very High,1,Negative,137.40619384843,443.92770320262,443.92770320262,0.0,1025.2616002536702,1245.7456928443046,Withdrew More
116021116,1007.0,4028.0,3021.0,VANESA,,2017-03-20 06:00:00,"42814,282196412",-2014.0,Unprofitable,Morning,LORA,Unknown,51-75,26-50,Medium,1,Negative,55.0,880.0,880.0,0.0,1815.0,1189.0,Withdrew More
116023410,87.728569918613,2559.0,182.7502378184119,BLANCA,,2017-03-20 08:00:00,"42814,353227708",-95.0216678997989,Unprofitable,Afternoon,BLANCA,Unknown,26-50,0-25,High,0,Medium,126.83648662932,0.0,0.0,0.0,126.83648662932,221.8581545291189,Deposited More
116025440,4474.605148040706,5733.0,2125.0633144541143,SO,IPHONE,2017-03-20 13:00:00,"42814,543641551",2349.5418335865916,Profitable,Afternoon,SO,IPHONE,0-25,26-50,Very High,0,Low,11.511718929870609,0.0,0.0,0.0,11.511718929870609,-2338.030114656721,Deposited More
116025700,292.3581016805826,14361.0,1225.5575520558045,MARRY,IPHONE,2017-03-20 06:00:00,"42814,256663762",-933.1994503752219,Unprofitable,Morning,MARRY,IPHONE,26-50,0-25,Very High,1,High,581.33389705105,0.0,52.84853609555,52.84853609555,687.03096924215,1514.533347426272,Deposited More
116026471,101.469189303456,1320.0,38.050945988796,ISAURA,ANDROID,2017-03-20 02:00:00,"42814,84673625",63.41824331466,Profitable,Night,NETA,ANDROID,51-75,0-25,Medium,0,Medium,63.41824331466,0.0,0.0,0.0,63.41824331466,0.0,Deposited More
116026491,1091.0,2108.0,1017.0,DOREEN,IPHONE,2017-03-20 12:00:00,"42814,537087604",74.0,Profitable,Afternoon,AUREA,IPHONE,0-25,0-25,Very High,0,Low,50.0,0.0,0.0,0.0,50.0,-24.0,Deposited More
116027757,446.35873586301534,9821.0,591.6922101257778,PAULETTE,,2017-03-20 06:00:00,"42814,290883056",-145.33347426276248,Unprofitable,Morning,PAULETTE,Unknown,0-25,0-25,Very High,0,Low,47.563682485995,0.0,0.0,0.0,47.563682485995,192.89715674875748,Deposited More
116033915,20229.0,80345.0,60116.0,CARLYN,DESKTOP,2017-03-20 01:00:00,"42814,69146897",-39887.0,Unprofitable,Afternoon,FAUSTINA,DESKTOP,0-25,0-25,Very High,1,Low,20.0,0.0,500.0,0.0,520.0,39907.0,Deposited More
116034932,1684.4942395095609,44168.0,2983.934045026944,EUGENIA,IPHONE,2017-03-20 17:00:00,"42814,734241192",-1299.4398055173833,Unprofitable,Night,EUGENIA,IPHONE,0-25,0-25,Very High,1,Negative,42.27882887644,42.27882887644,95.12736497199,52.84853609555,232.53355882042,1299.4398055173833,Deposited More
116035955,12.683648662932,220.0,10.56970721911,ELIZBETH,ANDROID,2017-03-20 13:00:00,"42814,547857407",2.113941443822,Profitable,Afternoon,ELIZBETH,ANDROID,0-25,0-25,Medium,0,Low,10.56970721911,0.0,0.0,0.0,10.56970721911,8.455765775288,Deposited More
116037491,8.455765775288,430.0,36.993975266885,SADIE,,2017-03-20 23:00:00,"42814,990625833",-28.538209491597,Unprofitable,Night,SADIE,Unknown,0-25,0-25,Low,0,Low,21.13941443822,0.0,0.0,0.0,21.13941443822,49.677623929817,Deposited More
116039039,1307.7312704333012,7734.0,7595.432149928628,MARTINE,IPHONE,2017-03-20 12:00:00,"42814,510742106",-6287.700879495327,Unprofitable,Afternoon,MARTINE,IPHONE,0-25,0-25,Very High,0,Low,23.023437859741218,0.0,0.0,0.0,23.023437859741218,6310.724317355068,Deposited More
116039551,357.256104005918,14697.0,1196.1737659866787,VIOLETTE,DESKTOP,2017-03-20 15:00:00,"42814,664352269",-838.9176619807607,Unprofitable,Afternoon,VIOLETTE,DESKTOP,51-75,0-25,Very High,1,Negative,63.41824331466,158.54560828665,221.96385160131,63.41824331466,507.34594651728,743.7902970087707,Withdrew More
